Crop,Actual Rainfall (mm),Predicted Rainfall (mm),Difference (mm)
muskmelon,26.31,24.05,2.25
watermelon,49.43,50.12,-0.69
papaya,114.78,126.82,-12.04
papaya,98.54,171.12,-72.58
apple,118.6,110.08,8.52
mango,94.11,95.59,-1.48
apple,110.98,116.08,-5.1
mothbeans,59.0,47.01,11.98
mungbean,56.53,47.22,9.3
lentil,50.9,43.24,7.65
blackgram,71.21,66.25,4.96
coconut,178.73,157.21,21.52
pomegranate,108.55,106.54,2.0
jute,164.27,187.47,-23.2
coconut,134.84,182.21,-47.37
pomegranate,103.88,107.01,-3.13
apple,109.59,112.3,-2.72
maize,67.73,83.52,-15.8
papaya,238.5,104.49,134.01
muskmelon,24.16,25.19,-1.04
coffee,175.37,159.62,15.75
papaya,77.72,150.56,-72.85
orange,107.99,112.16,-4.17
papaya,202.06,143.99,58.07
chickpea,78.26,80.99,-2.73
jute,169.34,176.79,-7.45
mungbean,55.3,49.45,5.85
orange,117.37,107.76,9.61
pigeonpeas,159.69,153.86,5.83
rice,197.98,222.98,-25.0
pomegranate,111.97,108.46,3.51
mothbeans,36.94,51.96,-15.02
jute,193.1,165.22,27.88
lentil,36.1,44.37,-8.27
jute,189.97,179.72,10.25
blackgram,66.47,68.48,-2.01
jute,177.51,165.71,11.8
chickpea,70.87,85.42,-14.55
chickpea,90.78,78.26,12.51
kidneybeans,60.92,104.17,-43.25
papaya,241.82,89.51,152.31
mango,96.09,92.87,3.21
blackgram,61.71,68.0,-6.29
maize,67.97,85.29,-17.32
mungbean,54.8,46.59,8.21
maize,105.01,83.27,21.74
pigeonpeas,120.74,138.53,-17.79
coconut,160.39,181.12,-20.73
muskmelon,20.39,23.45,-3.06
maize,74.05,84.98,-10.93
blackgram,72.43,64.27,8.16
coffee,140.63,148.61,-7.98
grapes,69.82,68.91,0.91
mungbean,49.12,46.16,2.96
coffee,122.21,156.48,-34.27
kidneybeans,98.78,104.74,-5.96
cotton,60.65,72.08,-11.42
apple,123.59,115.53,8.06
banana,102.46,105.52,-3.06
blackgram,63.18,69.2,-6.01
watermelon,57.45,59.28,-1.83
coconut,132.15,166.5,-34.35
lentil,51.92,46.12,5.8
orange,110.69,112.55,-1.86
papaya,46.44,100.98,-54.53
pigeonpeas,90.05,169.71,-79.65
orange,118.33,121.96,-3.63
rice,295.92,229.94,65.98
muskmelon,22.84,24.54,-1.7
pigeonpeas,192.44,161.82,30.61
muskmelon,26.32,24.19,2.13
coconut,150.2,162.25,-12.05
jute,183.83,186.22,-2.39
banana,101.05,95.87,5.18
blackgram,60.47,69.11,-8.64
papaya,209.87,165.34,44.53
banana,92.78,105.44,-12.66
cotton,92.92,79.26,13.66
watermelon,54.31,50.52,3.79
orange,117.37,109.77,7.6
coffee,120.65,165.52,-44.87
chickpea,89.62,81.63,7.99
rice,192.32,273.72,-81.4
mothbeans,70.47,58.78,11.69
orange,103.57,111.59,-8.02
mango,95.89,95.32,0.58
coffee,141.48,150.16,-8.68
mothbeans,52.08,60.41,-8.33
blackgram,70.25,67.8,2.45
pomegranate,104.88,108.31,-3.43
maize,87.76,81.68,6.08
mothbeans,66.36,51.23,15.12
cotton,90.42,86.17,4.25
papaya,144.67,83.61,61.05
pigeonpeas,136.83,151.92,-15.09
mothbeans,68.8,54.0,14.81
kidneybeans,113.33,111.05,2.28
coffee,119.63,155.91,-36.28
blackgram,61.91,69.5,-7.59
lentil,50.91,46.23,4.68
coconut,195.41,156.44,38.97
rice,204.8,226.34,-21.54
orange,103.2,111.57,-8.37
muskmelon,20.76,25.46,-4.7
watermelon,55.74,50.25,5.49
kidneybeans,140.37,80.48,59.89
watermelon,42.01,50.98,-8.97
banana,105.42,103.96,1.47
pigeonpeas,194.59,168.91,25.68
mothbeans,32.81,54.43,-21.61
banana,92.83,100.98,-8.15
jute,184.98,185.73,-0.75
cotton,86.85,73.25,13.6
pomegranate,108.31,109.82,-1.51
pigeonpeas,173.17,172.4,0.77
